Date,Flat
1995-01-31,6625
1995-02-28,6464
1995-03-31,8807
1995-04-30,7414
1995-05-31,8434
1995-06-30,9400
1995-07-31,8149
1995-08-31,8614
1995-09-30,8419
1995-10-31,7838
1995-11-30,8040
1995-12-31,8707
1996-01-31,6476
1996-02-29,6793
1996-03-31,8603
1996-04-30,8148
1996-05-31,9843
1996-06-30,9653
1996-07-31,10589
1996-08-31,11226
1996-09-30,10202
1996-10-31,11263
1996-11-30,12240
1996-12-31,11853
1997-01-31,9589
1997-02-28,9580
1997-03-31,10545
1997-04-30,11003
1997-05-31,12159
1997-06-30,12822
1997-07-31,14071
1997-08-31,13391
1997-09-30,12752
1997-10-31,13591
1997-11-30,11581
1997-12-31,12457
1998-01-31,9256
1998-02-28,9266
1998-03-31,10899
1998-04-30,11141
1998-05-31,12188
1998-06-30,12715
1998-07-31,14118
1998-08-31,12408
1998-09-30,12596
1998-10-31,12619
1998-11-30,11719
1998-12-31,12065
1999-01-31,8883
1999-02-28,9237
1999-03-31,12023
1999-04-30,12503
1999-05-31,12304
1999-06-30,14290
1999-07-31,17032
1999-08-31,15297
1999-09-30,14839
1999-10-31,15376
1999-11-30,15009
1999-12-31,15507
2000-01-31,10840
2000-02-29,11705
2000-03-31,15023
2000-04-30,13211
2000-05-31,13789
2000-06-30,15491
2000-07-31,13783
2000-08-31,13408
2000-09-30,12556
2000-10-31,11994
2000-11-30,12260
2000-12-31,13087
2001-01-31,10398
2001-02-28,10197
2001-03-31,13331
2001-04-30,12606
2001-05-31,14100
2001-06-30,16288
2001-07-31,15939
2001-08-31,17299
2001-09-30,13922
2001-10-31,14998
2001-11-30,15399
2001-12-31,13749
2002-01-31,10926
2002-02-28,11995
2002-03-31,15160
2002-04-30,14763
2002-05-31,19076
2002-06-30,15734
2002-07-31,18678
2002-08-31,18406
2002-09-30,16118
2002-10-31,16292
2002-11-30,16414
2002-12-31,16358
2003-01-31,12638
2003-02-28,11913
2003-03-31,12740
2003-04-30,12652
2003-05-31,13951
2003-06-30,15354
2003-07-31,15517
2003-08-31,16001
2003-09-30,16222
2003-10-31,17374
2003-11-30,16940
2003-12-31,18360
2004-01-31,13429
2004-02-29,13387
2004-03-31,16038
2004-04-30,17091
2004-05-31,15823
2004-06-30,19117
2004-07-31,19065
2004-08-31,16733
2004-09-30,15821
2004-10-31,14775
2004-11-30,13578
2004-12-31,15215
2005-01-31,9820
2005-02-28,10201
2005-03-31,12421
2005-04-30,13600
2005-05-31,13744
2005-06-30,16663
2005-07-31,16111
2005-08-31,15793
2005-09-30,16675
2005-10-31,15366
2005-11-30,15715
2005-12-31,18906
2006-01-31,13044
2006-02-28,14155
2006-03-31,18179
2006-04-30,15630
2006-05-31,17294
2006-06-30,22118
2006-07-31,19198
2006-08-31,20084
2006-09-30,20017
2006-10-31,19305
2006-11-30,20205
2006-12-31,22819
2007-01-31,16283
2007-02-28,15830
2007-03-31,19755
2007-04-30,16852
2007-05-31,19609
2007-06-30,23676
2007-07-31,20522
2007-08-31,21151
2007-09-30,18035
2007-10-31,19764
2007-11-30,18803
2007-12-31,16603
2008-01-31,11634
2008-02-29,12379
2008-03-31,11584
2008-04-30,12032
2008-05-31,11976
2008-06-30,11582
2008-07-31,9706
2008-08-31,8483
2008-09-30,7691
2008-10-31,7786
2008-11-30,6387
2008-12-31,7372
2009-01-31,4511
2009-02-28,4666
2009-03-31,6086
2009-04-30,6028
2009-05-31,6777
2009-06-30,8318
2009-07-31,9016
2009-08-31,8273
2009-09-30,9007
2009-10-31,9729
2009-11-30,9448
2009-12-31,12520
2010-01-31,6361
2010-02-28,7050
2010-03-31,8688
2010-04-30,8194
2010-05-31,8483
2010-06-30,10171
2010-07-31,9785
2010-08-31,9079
2010-09-30,9226
2010-10-31,8756
2010-11-30,8512
2010-12-31,8948
2011-01-31,6321
2011-02-28,6549
2011-03-31,7491
2011-04-30,7697
2011-05-31,7412
2011-06-30,9105
2011-07-31,9155
2011-08-31,9256
2011-09-30,9497
2011-10-31,8644
2011-11-30,9103
2011-12-31,9730
2012-01-31,6918
2012-02-29,7336
2012-03-31,10227
2012-04-30,6756
2012-05-31,8165
2012-06-30,9005
2012-07-31,8994
2012-08-31,9493
2012-09-30,8491
2012-10-31,8803
2012-11-30,9513
2012-12-31,8742
2013-01-31,7173
2013-02-28,7438
2013-03-31,8818
2013-04-30,8385
2013-05-31,10414
2013-06-30,10587
2013-07-31,11608
2013-08-31,12154
2013-09-30,11664
2013-10-31,12768
2013-11-30,13914
2013-12-31,13732
2014-01-31,11699
2014-02-28,11795
2014-03-31,12687
2014-04-30,12858
2014-05-31,13643
2014-06-30,14673
2014-07-31,14726
2014-08-31,14621
2014-09-30,13951
2014-10-31,14909
2014-11-30,12902
2014-12-31,13784
2015-01-31,10634
2015-02-28,11155
2015-03-31,12841
2015-04-30,11879
2015-05-31,13015
2015-06-30,15504
2015-07-31,16031
2015-08-31,14485
2015-09-30,14884
2015-10-31,15791
2015-11-30,14705
2015-12-31,15913
2016-01-31,11934
2016-02-29,13316
2016-03-31,31129
2016-04-30,9074
2016-05-31,10620
2016-06-30,13308
2016-07-31,13574
2016-08-31,14452
2016-09-30,13452
2016-10-31,12839
2016-11-30,13626
2016-12-31,14654
2017-01-31,11150
2017-02-28,11988
2017-03-31,14586
2017-04-30,11214
2017-05-31,12451
2017-06-30,14868
2017-07-31,13143
2017-08-31,14178
2017-09-30,13730
2017-10-31,13058
2017-11-30,13318
2017-12-31,13287
2018-01-31,10567
2018-02-28,11242
2018-03-31,12468
2018-04-30,10532
2018-05-31,11685
2018-06-30,13801
2018-07-31,12821
2018-08-31,14599
2018-09-30,12421
2018-10-31,13198
2018-11-30,13755
2018-12-31,12123
2019-01-31,9903
2019-02-28,10632
2019-03-31,11937
2019-04-30,10253
2019-05-31,11786
2019-06-30,11857
2019-07-31,12335
2019-08-31,12644
2019-09-30,11498
2019-10-31,12980
2019-11-30,12428
2019-12-31,11871
2020-01-31,10173
2020-02-29,10477
2020-03-31,11109
2020-04-30,5374
2020-05-31,5375
2020-06-30,7832
2020-07-31,9486
2020-08-31,8761
2020-09-30,10535
2020-10-31,12776
2020-11-30,12024
2020-12-31,13972
2021-01-31,10127
2021-02-28,12499
2021-03-31,20315
2021-04-30,13000
2021-05-31,11263
2021-06-30,26935
2021-07-31,9026
2021-08-31,11452
2021-09-30,19247
2021-10-31,9842
2021-11-30,12074
2021-12-31,13199
2022-01-31,10077
2022-02-28,11738
2022-03-31,13935
2022-04-30,11680
2022-05-31,11401
2022-06-30,11937
2022-07-31,12099
2022-08-31,12113
2022-09-30,12069
2022-10-31,11513
2022-11-30,11405
2022-12-31,10311
2023-01-31,7529
2023-02-28,7514
2023-03-31,8844
2023-04-30,5816
2023-05-31,6224
2023-06-30,7149
2023-07-31,6745
2023-08-31,7164
2023-09-30,5662
2023-10-31,2792
2023-11-30,1222
