Date,Semi-detached
1995-01-31,12952
1995-02-28,12989
1995-03-31,18219
1995-04-30,15159
1995-05-31,17353
1995-06-30,19471
1995-07-31,17601
1995-08-31,18584
1995-09-30,17749
1995-10-31,16155
1995-11-30,16992
1995-12-31,18291
1996-01-31,12798
1996-02-29,13647
1996-03-31,18244
1996-04-30,17171
1996-05-31,21345
1996-06-30,20127
1996-07-31,22797
1996-08-31,24289
1996-09-30,20832
1996-10-31,22835
1996-11-30,24709
1996-12-31,22348
1997-01-31,17018
1997-02-28,17077
1997-03-31,19544
1997-04-30,20100
1997-05-31,23605
1997-06-30,24169
1997-07-31,25993
1997-08-31,25247
1997-09-30,22240
1997-10-31,24245
1997-11-30,20620
1997-12-31,21645
1998-01-31,15097
1998-02-28,15283
1998-03-31,18680
1998-04-30,19626
1998-05-31,21369
1998-06-30,22094
1998-07-31,25466
1998-08-31,21903
1998-09-30,20740
1998-10-31,21683
1998-11-30,20176
1998-12-31,20358
1999-01-31,14579
1999-02-28,15033
1999-03-31,20266
1999-04-30,21892
1999-05-31,21802
1999-06-30,24180
1999-07-31,29132
1999-08-31,26033
1999-09-30,24372
1999-10-31,25929
1999-11-30,24819
1999-12-31,23999
2000-01-31,15984
2000-02-29,16794
2000-03-31,22746
2000-04-30,21536
2000-05-31,21948
2000-06-30,24929
2000-07-31,23377
2000-08-31,22544
2000-09-30,21219
2000-10-31,20138
2000-11-30,19806
2000-12-31,21328
2001-01-31,15163
2001-02-28,15539
2001-03-31,21090
2001-04-30,20996
2001-05-31,24011
2001-06-30,26797
2001-07-31,27414
2001-08-31,30188
2001-09-30,23603
2001-10-31,25565
2001-11-30,26411
2001-12-31,21607
2002-01-31,16864
2002-02-28,18307
2002-03-31,24393
2002-04-30,23370
2002-05-31,31672
2002-06-30,24025
2002-07-31,29608
2002-08-31,29867
2002-09-30,23776
2002-10-31,24275
2002-11-30,25766
2002-12-31,23260
2003-01-31,18334
2003-02-28,17407
2003-03-31,18408
2003-04-30,19439
2003-05-31,21607
2003-06-30,21515
2003-07-31,24246
2003-08-31,25715
2003-09-30,24062
2003-10-31,27201
2003-11-30,25046
2003-12-31,25444
2004-01-31,19411
2004-02-29,19401
2004-03-31,22160
2004-04-30,25897
2004-05-31,23557
2004-06-30,26507
2004-07-31,28848
2004-08-31,24816
2004-09-30,20738
2004-10-31,20022
2004-11-30,17835
2004-12-31,17562
2005-01-31,11857
2005-02-28,12491
2005-03-31,14792
2005-04-30,18077
2005-05-31,18614
2005-06-30,20595
2005-07-31,22694
2005-08-31,22234
2005-09-30,22240
2005-10-31,20609
2005-11-30,21214
2005-12-31,23013
2006-01-31,16628
2006-02-28,17197
2006-03-31,22826
2006-04-30,21314
2006-05-31,23575
2006-06-30,27382
2006-07-31,26339
2006-08-31,27495
2006-09-30,26140
2006-10-31,25859
2006-11-30,26016
2006-12-31,27058
2007-01-31,19285
2007-02-28,19305
2007-03-31,23222
2007-04-30,21315
2007-05-31,24107
2007-06-30,26908
2007-07-31,26173
2007-08-31,28282
2007-09-30,21836
2007-10-31,22556
2007-11-30,22767
2007-12-31,17154
2008-01-31,12340
2008-02-29,13475
2008-03-31,12294
2008-04-30,13535
2008-05-31,14476
2008-06-30,12557
2008-07-31,11739
2008-08-31,11127
2008-09-30,9135
2008-10-31,10275
2008-11-30,8161
2008-12-31,8722
2009-01-31,6070
2009-02-28,6303
2009-03-31,8121
2009-04-30,8963
2009-05-31,10459
2009-06-30,11816
2009-07-31,14580
2009-08-31,13240
2009-09-30,12868
2009-10-31,14791
2009-11-30,13613
2009-12-31,17533
2010-01-31,7558
2010-02-28,9151
2010-03-31,11087
2010-04-30,11367
2010-05-31,11456
2010-06-30,13472
2010-07-31,15421
2010-08-31,13802
2010-09-30,12503
2010-10-31,13189
2010-11-30,12384
2010-12-31,12388
2011-01-31,8180
2011-02-28,8532
2011-03-31,10131
2011-04-30,11315
2011-05-31,10868
2011-06-30,12709
2011-07-31,13993
2011-08-31,14708
2011-09-30,14264
2011-10-31,12957
2011-11-30,13453
2011-12-31,14130
2012-01-31,9821
2012-02-29,9781
2012-03-31,13262
2012-04-30,9126
2012-05-31,11402
2012-06-30,12582
2012-07-31,12743
2012-08-31,14197
2012-09-30,11073
2012-10-31,12572
2012-11-30,14002
2012-12-31,11971
2013-01-31,9048
2013-02-28,9479
2013-03-31,11382
2013-04-30,10653
2013-05-31,14086
2013-06-30,13670
2013-07-31,15784
2013-08-31,17060
2013-09-30,14640
2013-10-31,16604
2013-11-30,18206
2013-12-31,16977
2014-01-31,13945
2014-02-28,13976
2014-03-31,14188
2014-04-30,14713
2014-05-31,16514
2014-06-30,16968
2014-07-31,17547
2014-08-31,18684
2014-09-30,16822
2014-10-31,18639
2014-11-30,15649
2014-12-31,16316
2015-01-31,11967
2015-02-28,12307
2015-03-31,14178
2015-04-30,13211
2015-05-31,15701
2015-06-30,17605
2015-07-31,19570
2015-08-31,17854
2015-09-30,17144
2015-10-31,19399
2015-11-30,17566
2015-12-31,18242
2016-01-31,13295
2016-02-29,14261
2016-03-31,23412
2016-04-30,11859
2016-05-31,13729
2016-06-30,16579
2016-07-31,17747
2016-08-31,18022
2016-09-30,17735
2016-10-31,16464
2016-11-30,17178
2016-12-31,18467
2017-01-31,13203
2017-02-28,13835
2017-03-31,17174
2017-04-30,14354
2017-05-31,16002
2017-06-30,19885
2017-07-31,18348
2017-08-31,19815
2017-09-30,18506
2017-10-31,18220
2017-11-30,18223
2017-12-31,18382
2018-01-31,13382
2018-02-28,13917
2018-03-31,16247
2018-04-30,14153
2018-05-31,16109
2018-06-30,19288
2018-07-31,17868
2018-08-31,20605
2018-09-30,16610
2018-10-31,18626
2018-11-30,20204
2018-12-31,17301
2019-01-31,13346
2019-02-28,14176
2019-03-31,16408
2019-04-30,15100
2019-05-31,16680
2019-06-30,17414
2019-07-31,17897
2019-08-31,19723
2019-09-30,16980
2019-10-31,18682
2019-11-30,19002
2019-12-31,17712
2020-01-31,14180
2020-02-29,14016
2020-03-31,14676
2020-04-30,5950
2020-05-31,8052
2020-06-30,12344
2020-07-31,14313
2020-08-31,15351
2020-09-30,17027
2020-10-31,20838
2020-11-30,20758
2020-12-31,23064
2021-01-31,16880
2021-02-28,21604
2021-03-31,30133
2021-04-30,19961
2021-05-31,17296
2021-06-30,36023
2021-07-31,13042
2021-08-31,17447
2021-09-30,29865
2021-10-31,12585
2021-11-30,15707
2021-12-31,17715
2022-01-31,13278
2022-02-28,15223
2022-03-31,16972
2022-04-30,15323
2022-05-31,15418
2022-06-30,15969
2022-07-31,16760
2022-08-31,16894
2022-09-30,16794
2022-10-31,16152
2022-11-30,16196
2022-12-31,14430
2023-01-31,10609
2023-02-28,10501
2023-03-31,11646
2023-04-30,8633
2023-05-31,9384
2023-06-30,11070
2023-07-31,10661
2023-08-31,11280
2023-09-30,8327
2023-10-31,3381
2023-11-30,1456
